Production Record No;Company;Customer;Start Date;End Date;Production No;Recipe No;Receipt;Reçete;Quantity;Quantity to be produced;Return concrete;Return concrete note;Order Code;Jobsite;Driver;Ek Madde;Ek Maddenin Miktarı;Ek Madde 2;Ek Maddenin Miktarı 2;Nakliyat Bölgesi;Vehicle;Agg1;Agg2;Agg3;Agg4;Agg5;Agg6;Cem1;Cem2;Cem3;Cem4;Add1;Add2;Add3;Add4;Add5;Wat1;Wat2;Extra Water1;Extra Water2;Statu;Agg1Girilen Hata;Agg1Hesaplanan Hata;Agg2Girilen Hata;Agg2Hesaplanan Hata;Agg3Girilen Hata;Agg3Hesaplanan Hata;Agg4Girilen Hata;Agg4Hesaplanan Hata;Cem1Girilen Hata;Cem1Hesaplanan Hata;Cem2Girilen Hata;Cem2Hesaplanan Hata;Cem3Girilen Hata;Cem3Hesaplanan Hata;Cem4Girilen Hata;Cem4Hesaplanan Hata;Add1Girilen Hata;Add1Hesaplanan Hata;Add2Girilen Hata;Add2Hesaplanan Hata;Add3Girilen Hata;Add3Hesaplanan Hata;Add4Girilen Hata;Add4Hesaplanan Hata;Wa1Girilen Hata;Wa1Hesaplanan Hata;Wa2Girilen Hata;Wa2Hesaplanan Hata;Ag1YuzdeFark;Ag2YuzdeFark;Ag3YuzdeFark;Ag4YuzdeFark;Cim1YuzdeFark;Cim2YuzdeFark;Cim3YuzdeFark;Cim4YuzdeFark;Kat1YuzdeFark;Kat2YuzdeFark;Kat3YuzdeFark;Kat4YuzdeFark;Su1YuzdeFark;Su2YuzdeFark
71350;BAUPARTNER;PRECAST CONCRETE;07/02/2026  14:43;07/02/2026  14:46;71623;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;374,00;490,00;748,00;242,00;0,00;0,00;0,00;456,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;130,00;0,00;0;0;2;2,00;3,89;2,00;-2,00;2,00;-0,27;2,00;-10,37;1,00;0,00;1,00;1,33;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,78;1,00;0,00;3,89;-2,00;-0,27;-10,37;0,00;1,33;0,00;0,00;-99,48;0,00;0,00;0,00;0,78;0,00
71349;BAUPARTNER;PRECAST CONCRETE;07/02/2026  14:33;07/02/2026  14:36;71622;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;328,00;507,00;746,00;305,00;0,00;0,00;0,00;451,00;0,00;0,00;2,03;0,00;0,00;0,00;0,00;130,00;0,00;0;0;2;2,00;-8,89;2,00;1,20;2,00;-0,53;2,00;12,96;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-8,89;1,20;-0,53;12,96;0,00;0,22;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71348;BAUPARTNER;PRECAST CONCRETE;07/02/2026  14:24;07/02/2026  14:26;71621;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;383,00;486,00;753,00;253,00;0,00;0,00;0,00;447,00;0,00;0,00;2,01;0,00;0,00;0,00;0,00;127,00;0,00;0;0;2;2,00;6,39;2,00;-2,80;2,00;0,40;2,00;-6,30;1,00;0,00;1,00;-0,67;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;6,39;-2,80;0,40;-6,30;0,00;-0,67;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71347;BAUPARTNER;PRECAST CONCRETE;07/02/2026  14:14;07/02/2026  14:16;71620;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;350,00;532,00;746,00;274,00;0,00;0,00;0,00;453,00;0,00;0,00;1,94;0,00;0,00;0,00;0,00;126,00;0,00;0;0;2;2,00;-2,78;2,00;6,19;2,00;-0,53;2,00;1,48;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-2,78;6,19;-0,53;1,48;0,00;0,67;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71346;BAUPARTNER;PRECAST CONCRETE;07/02/2026  14:03;07/02/2026  14:06;71619;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;368,00;473,00;756,00;246,00;0,00;0,00;0,00;449,00;0,00;0,00;2,01;0,00;0,00;0,00;0,00;129,00;0,00;0;0;2;2,00;2,22;2,00;-5,78;2,00;0,80;2,00;-8,89;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-0,77;1,00;0,00;2,22;-5,78;0,80;-8,89;0,00;-0,22;0,00;0,00;-99,47;0,00;0,00;0,00;-0,77;0,00
71345;BAUPARTNER;PRECAST CONCRETE;07/02/2026  13:51;07/02/2026  13:53;71618;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;360,00;540,00;740,00;296,00;0,00;0,00;0,00;451,00;0,00;0,00;2,08;0,00;0,00;0,00;0,00;130,00;0,00;0;0;2;2,00;0,00;2,00;7,78;2,00;-1,33;2,00;9,63;1,00;0,00;1,00;0,22;1,00;0,00;1,00;0,00;1,00;-99,46;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,78;1,00;0,00;0,00;7,78;-1,33;9,63;0,00;0,22;0,00;0,00;-99,46;0,00;0,00;0,00;0,78;0,00
71344;BAUPARTNER;PRECAST CONCRETE;07/02/2026  13:42;07/02/2026  13:44;71617;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;371,00;473,00;760,00;283,00;0,00;0,00;0,00;450,00;0,00;0,00;1,89;0,00;0,00;0,00;0,00;130,00;0,00;0;0;2;2,00;3,06;2,00;-5,59;2,00;1,33;2,00;4,81;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;3,06;-5,59;1,33;4,81;0,00;0,00;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71343;BAUPARTNER;PRECAST CONCRETE;07/02/2026  13:31;07/02/2026  13:33;71616;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;353,00;519,00;757,00;246,00;0,00;0,00;0,00;449,00;0,00;0,00;2,06;0,00;0,00;0,00;0,00;130,00;0,00;0;0;2;2,00;-1,94;2,00;3,59;2,00;0,93;2,00;-8,89;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,46;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-1,94;3,59;0,93;-8,89;0,00;-0,22;0,00;0,00;-99,46;0,00;0,00;0,00;0,00;0,00
71342;BAUPARTNER;PRECAST CONCRETE;07/02/2026  13:18;07/02/2026  13:20;71615;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;346,00;500,00;754,00;283,00;0,00;0,00;0,00;449,00;0,00;0,00;1,97;0,00;0,00;0,00;0,00;129,00;0,00;0;0;2;2,00;-3,89;2,00;-0,20;2,00;0,53;2,00;4,81;1,00;0,00;1,00;-0,22;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-3,89;-0,20;0,53;4,81;0,00;-0,22;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71341;BAUPARTNER;PRECAST CONCRETE;07/02/2026  13:03;07/02/2026  13:05;71614;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;377,00;489,00;749,00;269,00;0,00;0,00;0,00;453,00;0,00;0,00;2,01;0,00;0,00;0,00;0,00;129,00;0,00;0;0;2;2,00;4,72;2,00;-2,40;2,00;-0,13;2,00;-0,37;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;4,72;-2,40;-0,13;-0,37;0,00;0,67;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
